filename,size_bytes
AIM_T_CLM_TPLVNDR_HDR_TXN_0.dat,204676584
AIM_T_CLM_TPLVNDR_HDR_TXN_1.dat,204685884
AIM00_T_DENY_PHRM_HDR_0.dat,214321524
AIM00_T_CLM_ADR_N3_N4_0.dat,175205684
AIM00_T_CLM_ADR_N3_N4_10.dat,175392845
AIM00_T_CLM_ADR_N3_N4_11.dat,175427512
AIM00_T_CLM_ADR_N3_N4_12.dat,175497294
AIM00_T_CLM_ADR_N3_N4_13.dat,175509615
AIM00_T_CLM_ADR_N3_N4_14.dat,175038532
AIM00_T_CLM_ADR_N3_N4_15.dat,174995689
AIM00_T_CLM_ADR_N3_N4_16.dat,175191109
AIM00_T_CLM_ADR_N3_N4_17.dat,175291060
AIM00_T_CLM_ADR_N3_N4_18.dat,175115447
AIM00_T_CLM_ADR_N3_N4_19.dat,175142758
AIM00_T_CLM_ADR_N3_N4_1.dat,175368747
AIM00_T_CLM_ADR_N3_N4_20.dat,175226113
AIM00_T_CLM_ADR_N3_N4_21.dat,175108392
AIM00_T_CLM_ADR_N3_N4_22.dat,175176264
AIM00_T_CLM_ADR_N3_N4_23.dat,175483070
AIM00_T_CLM_ADR_N3_N4_24.dat,175130437
AIM00_T_CLM_ADR_N3_N4_25.dat,174976236
AIM00_T_CLM_ADR_N3_N4_26.dat,175245979
AIM00_T_CLM_ADR_N3_N4_27.dat,175374503
AIM00_T_CLM_ADR_N3_N4_28.dat,175058302
AIM00_T_CLM_ADR_N3_N4_29.dat,174987316
AIM00_T_CLM_ADR_N3_N4_2.dat,175218871
AIM00_T_CLM_ADR_N3_N4_30.dat,175371988
AIM00_T_CLM_ADR_N3_N4_31.dat,175079562
AIM00_T_CLM_ADR_N3_N4_32.dat,175204120
AIM00_T_CLM_ADR_N3_N4_33.dat,175154451
AIM00_T_CLM_ADR_N3_N4_34.dat,175198294
AIM00_T_CLM_ADR_N3_N4_35.dat,175211931
AIM00_T_CLM_ADR_N3_N4_36.dat,175341796
AIM00_T_CLM_ADR_N3_N4_37.dat,175343806
AIM00_T_CLM_ADR_N3_N4_38.dat,174808144
AIM00_T_CLM_ADR_N3_N4_39.dat,175433168
AIM00_T_CLM_ADR_N3_N4_3.dat,175264180
AIM00_T_CLM_ADR_N3_N4_40.dat,175067556
AIM00_T_CLM_ADR_N3_N4_41.dat,175155850
AIM00_T_CLM_ADR_N3_N4_42.dat,175275173
AIM00_T_CLM_ADR_N3_N4_43.dat,175282061
AIM00_T_CLM_ADR_N3_N4_44.dat,175450248
AIM00_T_CLM_ADR_N3_N4_45.dat,175177713
AIM00_T_CLM_ADR_N3_N4_46.dat,175594501
AIM00_T_CLM_ADR_N3_N4_47.dat,175259213
AIM00_T_CLM_ADR_N3_N4_48.dat,175180032
AIM00_T_CLM_ADR_N3_N4_49.dat,175283536
AIM00_T_CLM_ADR_N3_N4_4.dat,175239838
AIM00_T_CLM_ADR_N3_N4_50.dat,175365808
AIM00_T_CLM_ADR_N3_N4_51.dat,175180534
AIM00_T_CLM_ADR_N3_N4_52.dat,175159376
AIM00_T_CLM_ADR_N3_N4_53.dat,175607892
AIM00_T_CLM_ADR_N3_N4_54.dat,175535031
AIM00_T_CLM_ADR_N3_N4_55.dat,175129377
AIM00_T_CLM_ADR_N3_N4_56.dat,175260889
AIM00_T_CLM_ADR_N3_N4_57.dat,175248864
AIM00_T_CLM_ADR_N3_N4_58.dat,175309076
AIM00_T_CLM_ADR_N3_N4_59.dat,175108849
AIM00_T_CLM_ADR_N3_N4_5.dat,175234835
AIM00_T_CLM_ADR_N3_N4_60.dat,175369630
AIM00_T_CLM_ADR_N3_N4_61.dat,174837396
AIM00_T_CLM_ADR_N3_N4_62.dat,175226498
AIM00_T_CLM_ADR_N3_N4_63.dat,175339978
AIM00_T_CLM_ADR_N3_N4_64.dat,175129031
AIM00_T_CLM_ADR_N3_N4_65.dat,175187439
AIM00_T_CLM_ADR_N3_N4_66.dat,175135201
AIM00_T_CLM_ADR_N3_N4_67.dat,175102587
AIM00_T_CLM_ADR_N3_N4_68.dat,175543497
AIM00_T_CLM_ADR_N3_N4_69.dat,175090865
AIM00_T_CLM_ADR_N3_N4_6.dat,175138073
AIM00_T_CLM_ADR_N3_N4_70.dat,175469622
AIM00_T_CLM_ADR_N3_N4_7.dat,175184001
AIM00_T_CLM_ADR_N3_N4_8.dat,175818577
AIM00_T_CLM_ADR_N3_N4_9.dat,175241825
AIM00_T_CLM_NAME_NM1_0.dat,133639383
AIM00_T_CLM_NAME_NM1_10.dat,134150598
AIM00_T_CLM_NAME_NM1_11.dat,133882054
AIM00_T_CLM_NAME_NM1_12.dat,133883429
AIM00_T_CLM_NAME_NM1_13.dat,133725270
AIM00_T_CLM_NAME_NM1_14.dat,133789045
AIM00_T_CLM_NAME_NM1_15.dat,133976610
AIM00_T_CLM_NAME_NM1_16.dat,133822351
AIM00_T_CLM_NAME_NM1_17.dat,133687486
AIM00_T_CLM_NAME_NM1_18.dat,133734826
AIM00_T_CLM_NAME_NM1_19.dat,133594182
AIM00_T_CLM_NAME_NM1_1.dat,133571554
AIM00_T_CLM_NAME_NM1_20.dat,133478616
AIM00_T_CLM_NAME_NM1_21.dat,134025142
AIM00_T_CLM_NAME_NM1_2.dat,133508390
AIM00_T_CLM_NAME_NM1_3.dat,133806875
AIM00_T_CLM_NAME_NM1_4.dat,133815244
AIM00_T_CLM_NAME_NM1_5.dat,134169704
AIM00_T_CLM_NAME_NM1_6.dat,134030497
AIM00_T_CLM_NAME_NM1_7.dat,133675348
AIM00_T_CLM_NAME_NM1_8.dat,133962562
AIM00_T_CLM_NAME_NM1_9.dat,133828685
AIM00_T_MPHX_PHRM_DTL_0.dat,264562844
AIM00_T_MPHX_PHRM_DTL_10.dat,264251789
AIM00_T_MPHX_PHRM_DTL_11.dat,264153266
AIM00_T_MPHX_PHRM_DTL_12.dat,264500633
AIM00_T_MPHX_PHRM_DTL_13.dat,264619715
AIM00_T_MPHX_PHRM_DTL_14.dat,264545222
AIM00_T_MPHX_PHRM_DTL_15.dat,264738530
AIM00_T_MPHX_PHRM_DTL_16.dat,264460316
AIM00_T_MPHX_PHRM_DTL_17.dat,264477137
